Date,BHP.AX,CBA.AX,WES.AX,CSL.AX,WDS.AX,MQG.AX
2024-05-16,43.28329849243164,118.4090347290039,67.8216323852539,284.65948486328125,26.93766212463379,187.6116180419922
2024-05-17,43.62342071533203,117.22747039794922,66.54693603515625,277.7649230957031,26.54208755493164,185.20510864257812
2024-05-20,44.43000411987305,117.9344711303711,66.26475524902344,275.68170166015625,27.09203338623047,188.34910583496094
2024-05-21,44.74097442626953,117.9538345336914,66.51774597167969,275.4138488769531,27.005199432373047,187.47576904296875
2024-05-22,44.935333251953125,117.6729736328125,65.32089233398438,275.87017822265625,26.792940139770508,189.89198303222656
2024-05-23,43.64285659790039,116.92723083496094,64.52298736572266,279.74896240234375,26.773643493652344,187.99977111816406
2024-05-24,43.38047409057617,115.12581634521484,62.10009765625,278.6776123046875,26.947311401367188,186.51510620117188
2024-05-27,43.8760871887207,116.31706237792969,62.86880874633789,278.39984130859375,26.735050201416016,187.8542022705078
2024-05-28,43.80806350708008,116.52045440673828,62.59635543823242,279.70928955078125,26.65786361694336,186.28221130371094
2024-05-29,43.80806350708008,114.61251068115234,61.905487060546875,275.97930908203125,26.503494262695312,183.86598205566406
2024-05-30,43.05006790161133,114.27352905273438,62.42120361328125,276.0983581542969,26.194753646850586,182.7888641357422
2024-05-31,43.25414276123047,115.77471160888672,63.14126205444336,277.8641357421875,26.72540283203125,185.2924346923828
2024-06-03,43.54568099975586,117.46958923339844,63.61804962158203,279.09423828125,26.947311401367188,186.44717407226562
2024-06-04,43.03063201904297,118.60273742675781,63.64725112915039,279.74896240234375,26.464902877807617,186.8061981201172
2024-06-05,42.661354064941406,119.58092498779297,63.84185791015625,283.5781555175781,26.185104370117188,187.5242919921875
2024-06-06,42.80712127685547,120.91744995117188,64.48406982421875,287.1891174316406,26.15616226196289,189.43592834472656
2024-06-07,43.27357864379883,121.59541320800781,65.33062744140625,286.6930847167969,26.252641677856445,190.45481872558594
2024-06-11,42.5058708190918,120.99493408203125,65.67118835449219,284.0146484375,26.136865615844727,188.0968017578125
2024-06-12,42.272640228271484,120.19107818603516,64.82463836669922,279.9771423339844,26.812236785888672,186.85472106933594
2024-06-13,41.98110580444336,121.52761840820312,65.62254333496094,285.661376953125,26.571033477783203,185.75820922851562
2024-06-14,41.874210357666016,121.36296081542969,65.58362579345703,286.79229736328125,26.300884246826172,185.08865356445312
2024-06-17,41.33972930908203,121.53729248046875,65.45711517333984,286.49468994140625,26.03073501586914,184.9722137451172
2024-06-18,41.59238815307617,123.94886779785156,65.8463363647461,291.5242004394531,25.992143630981445,189.86288452148438
2024-06-19,41.53408432006836,122.9416275024414,65.9825668334961,290.6611633300781,26.320180892944336,191.92977905273438
2024-06-20,41.543800354003906,123.72610473632812,65.70037841796875,288.419189453125,26.291234970092773,190.67800903320312
2024-06-21,41.57295227050781,123.65830993652344,65.0484390258789,290.6611633300781,26.55173683166504,193.13302612304688
2024-06-24,41.23283004760742,122.8060302734375,63.54021453857422,289.6790771484375,26.021085739135742,193.3659210205078
2024-06-25,42.09771728515625,124.5783920288086,64.36730194091797,291.3555908203125,26.976253509521484,197.88784790039062
2024-06-26,42.11715316772461,122.90288543701172,62.98557662963867,292.5261535644531,27.313940048217773,197.69378662109375
2024-06-27,41.932518005371094,122.22492980957031,63.36506271362305,292.8039245605469,27.256052017211914,197.7714080810547
2024-06-28,41.47577667236328,123.36776733398438,63.42344284057617,292.853515625,27.217456817626953,198.62533569335938
2024-07-01,42.07828140258789,122.22492980957031,63.40399169921875,290.2643737792969,27.256052017211914,197.1406707763672
2024-07-02,41.94223403930664,121.70194244384766,62.703392028808594,289.7485046386719,28.10508918762207,197.17947387695312
2024-07-03,42.41840744018555,121.43075561523438,62.76176834106445,292.5459899902344,28.037551879882812,197.57733154296875
2024-07-04,43.506805419921875,123.83264923095703,63.520748138427734,295.125244140625,28.201570510864258,198.9261474609375
2024-07-05,43.13752746582031,123.0965805053711,63.57912826538086,297.3572692871094,28.23051643371582,198.44097900390625
2024-07-08,42.253204345703125,122.4864273071289,64.37703704833984,293.2007141113281,27.728811264038086,198.334228515625
2024-07-09,42.5058708190918,124.63650512695312,64.75652313232422,296.14703369140625,27.584089279174805,196.8107452392578
2024-07-10,41.95195007324219,124.49122619628906,64.65921783447266,295.2839660644531,27.50690269470215,197.0145263671875
2024-07-11,42.33094787597656,125.82775115966797,65.46685028076172,299.6289978027344,27.825292587280273,196.8689727783203
2024-07-12,42.17546463012695,127.51294708251953,66.72209167480469,304.1526184082031,27.92177391052246,197.37355041503906
2024-07-15,42.437843322753906,128.51051330566406,68.11355590820312,306.0969543457031,28.27875518798828,198.28570556640625
2024-07-16,41.8644905090332,128.2683868408203,68.15247344970703,305.40252685546875,28.336645126342773,198.61561584472656
2024-07-17,41.49521255493164,129.2949981689453,68.5611572265625,305.5612487792969,28.365589141845703,203.49661254882812
2024-07-18,41.45634078979492,128.48146057128906,68.95037841796875,308.6365051269531,28.481367111206055,203.50631713867188
2024-07-19,40.58173370361328,127.4839096069336,68.43465423583984,309.2119140625,28.182273864746094,203.8362274169922
2024-07-22,40.465118408203125,127.53231048583984,68.96011352539062,306.7120056152344,27.59373664855957,202.90467834472656
2024-07-23,40.290199279785156,128.9463348388672,70.24453735351562,309.6582946777344,26.561384201049805,201.69171142578125
2024-07-24,40.38737869262695,128.59767150878906,70.35157012939453,307.912353515625,26.281587600708008,202.54563903808594
2024-07-25,40.02781677246094,128.42335510253906,68.30815887451172,303.10107421875,25.924606323242188,195.63658142089844
